title,department,subtier,office,type_name,solicitation_number,publish_date,response_date,is_active,set_aside,description,sam_url,awardee_name,award_amount
Intent to Sole Source - J&A - Index Data Maintenance,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,CIO20210142,2021-03-11,2021-03-15,Inactive,,"The Library of Congress requires contract support to establish and expand online services to the public patrons, CAD staff, and LC Recommending Officers by improving the overall processing times and support of the annual strategy to main",https://sam.gov/opp/c9e774581f4c4beb83f47dd5341d591d/view,,
Cabling Infrastructure Material,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,030DV21Q0144,2021-03-09,,Inactive,,,https://sam.gov/opp/9cacd83b4b0f42ac87a4f958b35f532c/view,"GRAYBAR ELECTRIC COMPANY, INC.",
PGC Environmental Chambers Maintenance and Repair Service,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,,2021-03-09,2021-03-23,Inactive,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate, intends to award a sole-source firm fixe",https://sam.gov/opp/6aaf364a983848ab90ef99d6ad491f61/view,,
Bruker Fourier Transform Infrared Spectrometer,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,,2021-03-08,2021-03-22,Inactive,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate, intends to award a sole-source fi",https://sam.gov/opp/65783b0416b4441abb32627f92b650a9/view,,
Web Harvesting Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCLSM21D0015,2021-03-02,,Inactive,,"This is a single award IDIQ contract. The calculated total evaluated price proposed by MirrorWeb is $330,000.00.",https://sam.gov/opp/0c421d7528fe4878895c20a61b3200b3/view,MIRRORWEB LIMITED,
Smiths Detection HI-SCAN 6040i Maintenance and Repair Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,OSE20210027,2021-03-02,2021-03-17,Inactive,,"The Security and Emergency Preparedness Directorate (SEPD), within the Library of Congress, requires contract support for scheduled maintenance and emergency repair services for one (1) Smiths Detection brand X-Ray scanning system model HI-SCAN 60",https://sam.gov/opp/b8a4f0ab35994dc188d50261bc9023ac/view,,
BIBFRAME Distribution Utility,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,LSB20210022,2021-03-02,2021-03-14,Inactive,,"Amendment 1: The purpose of this amendment is to extend the deadline to submit offer to 03/14/2021 at Noon, Eastern Time. There are no other changes made. - - - This is a combined synopsis/solicitation to procure services for the L",https://sam.gov/opp/54ea857dba8f4236bf16a77ed33a2937/view,,
Data Center Cleaning,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV21Q0129,2021-03-01,2021-03-03,Inactive,,Provide cleaning in three Library of Congress Data Center locations. See soliciation for full detail. Modification to post Question and Answers. Modification to post 2nd set of questions and answers. Another question,https://sam.gov/opp/a172fc7400e44c8a8f4ba76df71424c3/view,,
Architect of the Capitol - Multiple Award Construction Contract (MACC),ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Award Notice,AOCACB21D0001-0007,2021-03-01,,Inactive,,"The following firms were selected for award as a result of Solicitation No. AOCACB20R0031, Architect of the Capitol (AOC), Multiple Award Construction Contract (MACC) Balfour Beatty Construction, LLC -- 11325",https://sam.gov/opp/07abbfe9332d47248b685a2a412788a7/view,See Below,
Archival Plastic Film Cans IDIQ - Library of Congress,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV21Q0081,2021-02-25,2021-03-29,Inactive,,"This is a combined synopsis/solicitation issued under FAR PArt 13, Simplified Acquisition Procedures. The Library of Congress (Library) seeks a contractor to supply plastic archival motion picture film cans, to be manufactured to Libr",https://sam.gov/opp/2553279f843345abb2bc71c982b0e6bc/view,,
Mass Deacidification of Library Collections - Library of Congress,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV21R0066,2021-02-25,2021-03-01,Inactive,,"Amendment 2: The purpose of this amendment is to answer questions submitted. - - - Amendment 1: The purpose of this amendment is to make changes to Section B, Section F, Section H, and make other changes as well as add extra attach",https://sam.gov/opp/76a19abdf1ba4d87b92ba14491fe7127/view,,
Talent Acquisition Executive Search Services,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,2021-R-032,2021-02-24,2021-03-08,Inactive,,"The United States Senate (Senate), Office of the Sergeant at Arms (SAA) is seeking the services of a professional executive search firm to assist U.S. Capitol Police Board (Board) in conducting a national search to identify a diverse pool of candi",https://sam.gov/opp/db3968374fc94cd297039f823292bfb1/view,,
Library of Congress Cloud Services IDIQ,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCCIO21D0056,2021-02-24,,Inactive,,"The Library of Congress has awarded a Cloud Services IDIQ to Four Points Technology, LLC. The IDIQ has a 6-year ordering period and an ordering ceiling of $80,000,000.00. ",https://sam.gov/opp/06e995ec27f94123998b63b65860da0b/view,"FOUR POINTS TECHNOLOGY, L.L.C.",
Transportation Services (Shipping),LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV21Q0120,2021-02-23,2021-03-05,Inactive,,"The Library of Congress requires the services of commercial and/or specialized firms to pack, store and transport Library materials ranging greatly in use, size and distance, safely and efficiently, from a variety of locations across the country a",https://sam.gov/opp/974964b474be4fe28e40624acde5fc3b/view,,
IBM TRIRIGA LICENSES RENEWAL,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Presolicitation,ISS20210046,2021-02-23,2021-03-01,Inactive,,"The purpose of this pre-solicitation notice is to inform the public that the Library intends to make a sole-source award to IBM for TRIRIGA maintenance licenses, per FAR FAR 13.106-1(b). The Library intends to make a one year award for these",https://sam.gov/opp/ffa24ab1b95e4e42b3a274c5787954a5/view,,
NOTICE OF INTENT TO AWARD A SOLE SOURCE CONTRACT,GOVERNMENT ACCOUNTABILITY OFFICE,"GAO, EXCEPT COMPTROLLER GENERAL",US GAO ACQUISITION MANAGEMENT,Special Notice,05GA0A21Q0022,2021-02-19,2021-02-25,Inactive,,"NOTICE OF INTENT TO AWARD A SOLE SOURCE CONTRACT This is a NOTICE OF INTENT TO AWARD A SOLE SOURCE PURCHASE ORDER U. S. Government Accountability Office intends to negotiate an order under FAR Part 13.302, Purchase",https://sam.gov/opp/e6401bd2e98d4637ba8c177820d44127/view,,
Cabling Infrastructure Material,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV21Q0144,2021-02-19,2021-03-03,Inactive,,The Library of Congress (Library) requires various Cabling Infrastructure Material for the CIO to complete various Library project. Please review the attached solicitation and attachment for further details.,https://sam.gov/opp/91cf6a0a88df4254bb6e24e3c440821e/view,,
WebEx Licenses,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,RFQ-R-026,2021-02-19,2021-03-05,Inactive,,This is a competitive source selection notice for the procurement of WebEx Licenses for the United States Senate. Please review all attachments associated with this procurement. ,https://sam.gov/opp/cb05a3dcbc4a46b5b2739f614977462e/view,,
Award Notice - Ex Libris Support for Voyager Upgrade,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LST20210010,2021-02-19,,Inactive,,"The Library of Congress (LC) Library Services (LS) is planning to upgrade itsintegrated library system (ILS) in FY 2021. The LC ILS uses Voyager software, a product of Ex Libris Group. In order to ensure an efficient upgrade, reduce downtime for s",https://sam.gov/opp/9a341087e5124f19968e3f9ce075b1bc/view,EX LIBRIS (USA) INC.,
Production Scanners and Software Licenses,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,RFQ-2021-R-023,2021-02-17,2021-03-03,Inactive,,"This is a competitive source selection notice for the procurement of Production Scanners and Software Licenses for the United States Senate Landover Print Facility, located in Landover, Maryland. Please review all attachments associated with this",https://sam.gov/opp/2e3bdbcf25ea414b9c44265329f2485e/view,,
Library of Congress - Exhibit Booth Deployment & Storage,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV21R0083,2021-02-17,2021-02-26,Inactive,,The Library of Congress (“Library”) is the world’s largest library. Its mission is to support Congress in fulfilling its constitutional duties and to further the progress of knowledge and creativity for the benefit of the A,https://sam.gov/opp/f95c0fe19f0e40ce90d0c66af63c2e96/view,,
SailPoint Annual Support Renewal,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,2021-R-029,2021-02-17,2021-02-24,Inactive,,Please see/complete the four attachments for the SailPoint Annual Support Renewal for the U.S. Senate Office of the Sergeant At Arms.,https://sam.gov/opp/a83c8404f61649e3830280121f7a6cad/view,,
Intent to Sole Source - Cube-Tec CWF/Dobbin QC/Derivative Creation System,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,LSM20210042,2021-02-16,2021-03-03,Inactive,,"The Library of Congress requires contract support to provide upgrades, maintenance, and support for the existing custom Cube-Tec CubeWorkFlow (CWF) System and Cube-Tec Dobbin System equipment installed in the Culpeper facility for the LOC/NAV",https://sam.gov/opp/d664ed1046024a698e8f7bcd7a6c9b17/view,,
Retrospective Holdings Integrity - Library of Congress,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,LSP20210015,2021-02-16,2021-03-01,Inactive,,Amendment 1: The purpose of this amendment is to answer questions submitted from offerors as well as make amendments to section F and L in response to those questions. The offer submission deadline is not being extended at this time. - - -,https://sam.gov/opp/45c278a526134b3cb4e772c9702566c8/view,,
Sortation Equipment for the Library of Congress - Request for Information,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Sources Sought,RFI-SortationEquipment,2021-02-16,2021-03-17,Inactive,,"This is a Request for Information (RFI) to obtain capability statements and potential feedback for an upcoming Library of Congress (LOC) requirement. The solicitation is not expected until Quarter 3 of fiscal year 2021. Specifically, the L",https://sam.gov/opp/b427e350ac2c4c63981e6c1aff9f87f3/view,,
Business Enterprise Retail Management System,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV21R0064,2021-02-15,2021-02-19,Inactive,,The Library of Congress (Library) Office of Business Enterprises (BE) has a need for the migration of its Retail entity and functions of Microsoft Dynamics AX R3 to a commercial off-the-Shelf (COTS) SaaS Retail Management system.&nb,https://sam.gov/opp/346c11ff790446ff814750d6fe8d4ad5/view,,
"Gerstel MPS Instrument Installation, Service, and Support",LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,,2021-02-08,2021-02-22,Inactive,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate, intends to award a sole-source firm fixe",https://sam.gov/opp/97d1a37a7c4345c5b31f6fb0e28cea5b/view,,
Media Pulse Annual Maintenance,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCCIO21P0037,2021-02-05,,Inactive,,"The Library has made a sole source fixed price award to Xytech Systems Corporation for MediaPulse Annual Maintenance. The requirement is for a 12-month base period and four 12-month option periods and includes license keys, maintenance, support an",https://sam.gov/opp/463ec281ba674ff0b6295abf54595ab7/view,XYTECH SYSTEMS CORPORATION,
Miscellaneous Film Supplies - Library of Congress MBRS,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,030ADV21Q0044,2021-02-02,,Inactive,,The Library of Congress set forth a public solicitation for film supplies. The ultimate awardee is the Kodak Eastman Company. The contract is a 5-year IDIQ and is solely for film supplies. The entire value of the IDIQ is less than the simplified a,https://sam.gov/opp/92a88115ebb04da2963a717174568c4a/view,EASTMAN KODAK COMPANY,
IAM Professional Services,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Sources Sought,2021-S-012,2021-02-01,2021-02-19,Inactive,,Please see/complete the attachment for IAM Professional Services for the U.S. Senate Office of the Sergeant At Arms.,https://sam.gov/opp/383337531eca44f3bdb24fcf3fe922ec/view,,
Inspection of Production Lots Program - Library of Congress,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,LSP20210020,2021-02-01,2021-02-12,Inactive,,"Amendment 2: The purpose of this amendment is to answer potential offeror questions. As a result of this Q&A, section C is also slightly amended to reflect the answers to the questions. - - - Amendment 1: The purpose of this am",https://sam.gov/opp/a644cb92dd584f108c29bb92bf18711a/view,,
PROCUREMENT USPS AMS - API SOFTWARE LICENSE,GOVERNMENT ACCOUNTABILITY OFFICE,"GAO, EXCEPT COMPTROLLER GENERAL",US GAO FMBO TEAM,Solicitation,05GA0A21Q0020,2021-01-26,2021-02-04,Inactive,,"US Government Accountability Office, Forensic Audits and Investigative Service (FAIS) has a need to procure a USPS Address Management System - Application Program Interface (AMS API) software license.",https://sam.gov/opp/5ab1e5b87c204337a1e04a6d7a9a755a/view,,
ERMS Hardware Migration Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,LST20210009,2021-01-21,2021-02-08,Inactive,, NOTICE OF INTENT TO AWARD SOLE SOURCE CONTRACT</st,https://sam.gov/opp/f2463237ddca4b958b6abdb9106949f2/view,,
IT Services IDIQ,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV21R0006,2021-01-15,2021-01-22,Inactive,,The Library of Congress intends to implement a Multi-Award IDIQ that will support a full range of IT life cycle technical support services covering the spectrum of the Library’s Information Technology investments and associated projects that,https://sam.gov/opp/b3c57209913e4522ad3bb9d37d53c4e7/view,,
Microfilm Readers/Scanners Preventative Maintenance,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCCIO21C0025,2021-01-15,,Inactive,,,https://sam.gov/opp/28f43d15767a47e485c24210e1245ba9/view,"NMS IMAGING, INC.",
RFQ-2021-R-016 Cisco Switch Refresh,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,RFQ-2021-R-016,2021-01-14,2021-01-25,Inactive,,"Please review all attachments, instructions, and requirements for the completion and submission of quotes in response to Request for Quotation 2021-R-016 for Cisco Switch Refresh.",https://sam.gov/opp/27062c85876c4840beecc670f3b51f85/view,,
"Revised Cisco Fiber Optic, Switches and Licenses","SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,RFQ-2021-R-014,2021-01-13,2021-01-20,Inactive,,"This is a revised request for quotation (RFQ) on a list of CISCO products. Please go to the following four attachments to this Notice for complete information: 1) EXCEL Worksheet """,https://sam.gov/opp/737c98c501be437a8e01f35175460d1a/view,,
Technical Support Services,"HOUSE OF REPRESENTATIVES, THE","HOUSE OF REPRESENTATIVES, THE",OFFICE OF ACQUISITIONS MANAGEMENT,Combined Synopsis/Solicitation,OAM21013S,2021-01-12,2021-03-01,Inactive,,PLEASE GO THE WWW.HOUSE.GOV. > DOING BUSINESS WITH THE HOUSE TO OBTAIN AND DOWNLOAD THE REQUEST FOR POROPSALS (RFP )OAM 21013S TECHNICAL SERVICE SUPPORT ,https://sam.gov/opp/18cfbaa7b97840d7a650f304b6b635d7/view,,
Cisco Ethernet Fiber Module Refresh,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,RFQ-2021-R-015,2021-01-11,2021-01-25,Inactive,,Please review the required instructions and requirements for the completion and submission of quotes in response to Request for Quotation 2021-R-015 for Cisco Ethernet Fiber Module Refresh.,https://sam.gov/opp/8aa6a7261e1a449bb09bd0462c355d10/view,,
Discipline Feasibility Study,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Sources Sought,RFIHCMD011121,2021-01-11,2021-01-25,Inactive,,The Architect of the Capitol (AOC) is seeking a contractor to perform a feasibility study to determine whether all AOC employee discipline actions should be centralized in the Human Capital Management Division (HCMD). Please see attachment,https://sam.gov/opp/bda0b984e1c44a9ea3ccea7eadd15436/view,,
Notice of Intent to Sole Source Ex Libris Support for Voyager Upgrade,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,LST20210010,2021-01-06,2021-01-28,Inactive,,"The Library of Congress (LC) Library Services (LS) is planning to upgrade its integrated library system (ILS) in FY 2021. The LC ILS uses Voyager software, a product of Ex Libris Group. In order to ensure an efficient upgrade, reduce down time for",https://sam.gov/opp/82426a62da8d49b4a422fee0789715df/view,,
Construction Management Services IDIQ,ARCHITECT OF THE CAPITOL,ARCHITECT OF THE CAPITOL,ACQUISITION & MATERIAL MAN. DIV.,Solicitation,AOCACB20R0135,2021-01-06,2021-01-11,Inactive,,The Architect of the Capitol (AOC) is hereby issuing the Request for Proposal (RFP) for construction management services under Indefinite Delivery Indefinite Quantity (IDIQ) Multiple Award Task Order Contract (MATOC). This contract is i,https://sam.gov/opp/512d8e9e093040c6856f5319b019e0dc/view,,
Dell EMC Hardware Software Maintenance,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,2021-R-021,2021-01-05,2021-01-11,Inactive,,"This is a Request for Quotation (RFQ) for Dell EMC Hardware Software Maintenance See enclosed RFQ 2021-R-020 Pricing Table, Amendment 001",https://sam.gov/opp/33ac95c1aaad4f0aba62475df462d07b/view,,
SOURCES SOUGHT NOTICE FOR CLOSED CAPTIONING SERVICES,"HOUSE OF REPRESENTATIVES, THE","HOUSE OF REPRESENTATIVES, THE",OFFICE OF ACQUISITIONS MANAGEMENT,Sources Sought,OAM21019S,2020-12-30,2021-01-18,Inactive,,The U.S. House of Representatives is conducting market research into a Closed Captioning solution that would ensure that all House proceedings that are broadcast on television or streamed on the Internet provide real-time closed captioning service,https://sam.gov/opp/f87cefe531fa4598832b5baeee92db51/view,,
Dell EMC Hardware Software Maintenance,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,2021-R-020,2020-12-30,2020-12-23,Inactive,,This is an RFQ for Dell EMC Hardware Software Maintenance,https://sam.gov/opp/1e41c64c0f0e444fb6de104b15234301/view,,
Awarded Braille Certification Learning Management System Enhancements,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,CIO20210123-CIO21P0017,2020-12-23,,Inactive,,"The National Library Service for Blind and Print Disabled (NLS), a service unit of the Library of Congress, provides braille and audio materials for loan to United States citizens in or out of the country, and, residents of the United States.",https://sam.gov/opp/3cda9229c6264f66ac2e7b2251491e11/view,"MANAN, LLC",
Web Harvesting Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV21R0033,2020-12-23,2021-01-08,Inactive,,The contractor shall provide Web Harvesting Services that will result in the capture of web content to be added to the Library of Congress collection.,https://sam.gov/opp/ac1121196c62452c95020c8a34093a4c/view,,
RedHat Software Maintenance Renewal,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,2021-R-019,2020-12-22,2020-12-22,Inactive,,This Notice is a Request for Quotation 2021-R-019 for Red Hat Software Maintenance and Support. RFQ 2021-R-019 has been amended to revise the quantity of Line Item #0006 for Manufacturer Part #MCT2735RN. Please see attached RFQ 202,https://sam.gov/opp/d8c3f9ae16b54d1792081430aa3b22c9/view,,
MBRS Flatbed and Rewind Maintenance and Repair,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,LSM20210038,2020-12-21,2021-01-08,Inactive,,"Amendment 1: This amendment answers questions submitted by potential offerors. As a result of the answers, it also slightly amends section B, C, L, and M. - - - - - - The Library of Congress (Library) owns and operates motion pictu",https://sam.gov/opp/f54fad043ed246dca9134e6ddf244cc2/view,,
Overseas Field Office Replacement System,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,LSB20210001,2020-12-18,2020-12-18,Inactive,,The Library intends to issue an award to Innovative Interfaces for the Overseas Field Office Replacement System's maintenance and support due to the application being developed on proprietary Virtua Software. For further details see the Justif,https://sam.gov/opp/b98e0a6a6a554990bbc38e7426b973d0/view,,
Xpress-IOSS - Hosting and Support,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Justification,NLS20210012,2020-12-18,,Inactive,,"This contract will provide support for the Library of Congress (LOC), the National Library Service for the Blind and Print Disabled (NLS) EXESS/PIMMS/READS Systems – Otherwise known as the integrated Operations Support system (XPRESS-IOSS).<",https://sam.gov/opp/154cbb2ba5b74fd6be57d1de26563ab3/view,,
Digital Inkjet Press,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,RFQ-2021-R-013,2020-12-16,2020-12-21,Inactive,,"Please review all attachments for the instructions and requirements for the completion and submission of quotes in response to Request for Quotation 2021-R-013 for purchase, installation and maintenance of a Digital Inkjet Press.",https://sam.gov/opp/38e83b3bb383450ca66f63b64e46f8a9/view,,
Dell EMC Maintenance for Library of Congress Data Centers,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,LCCIO21P0039,2020-12-16,,Inactive,,The Library of Congress has made an award at the value listed herein to the company also listed herein. This requirement is for Dell EMC maintenance and was solicited publically on BetaSAM. The Library was not accepting third party maintenance agr,https://sam.gov/opp/98fe1cc3c13b421f81ad18ca056950a8/view,MOSES IT DIGITAL TRANSFORMATION SERVICES & CONSULTING INC.,
Library Print Management RFI,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Sources Sought,RFICIO20210119,2020-12-16,2021-12-21,Inactive,,"12/16/2020 Update: The Library wants to clarify that for Question #3 in the attached RFI Questions, the term ""current lease"" is referring to the new lease that would be awarded for this requirement. Service units would t",https://sam.gov/opp/5a1812452b594adeb77b2abb23900c4d/view,,
Rigaku Equipment Service Maintenance,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,,2020-12-16,2020-12-31,Inactive,,"This is a public notice prepared in accordance with Federal Acquisition Regulation (FAR) 5.2 – Synopsis of Proposed Contract Actions. The Library of Congress, Contracts and Grants Directorate, intends to award a sole-source firm fixe",https://sam.gov/opp/fdd54371ac8e405482b3a51e6feee964/view,,
Media Pulse Annual Maintenance,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Presolicitation,CIO20210063,2020-12-15,2020-12-18,Inactive,,"The purpose of this pre-solicitation notice is to inform vendors that the Library of Congress (Library) has a brand name requirement and intends to solicit and issue a sole source award to Xytech Systems Corporation (Xytech) for maintenance, licen",https://sam.gov/opp/84981f05e3304fa891caff99ec1162da/view,,
Cisco Firewall Refresh,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,RFQ-2020-011,2020-12-11,2020-12-18,Inactive,,"Please see attached RFQ documents for Cisco Firewall Refresh RFQ for the U.S. Senate. Included are: RFQ Instructions, Pricing Table (Excel), Contract Clauses, and Addendum to Commercial Agreements (signature required). ",https://sam.gov/opp/f9cbf1d5abab472b87c6f497b0e70120/view,,
Request for Information  - Library of Congress 2021 National Book Festival Event Management Services,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Sources Sought,CLL20210002,2020-12-10,2021-01-04,Inactive,,This is a Request for Information (RFI) in accordance with the Federal Acquisition Regulation (FAR) 15.201(c)(7) for the purpose of developing an acquisition strategy and obtaining industry input relevant to a possible future solicitation and does,https://sam.gov/opp/174a6b22e76b4e23b988fa676b1484d4/view,,
Aruba HPE Products,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Solicitation,2021-R-002,2020-12-10,2020-12-28,Inactive,,Please go to the IDIQ solicitation for pricing on certain Aruba HPE products attached to this Notice for complete information to submit the proposal quote. ,https://sam.gov/opp/9a248d06f7244b70859232d02d8a16da/view,,
Senate Microsoft 365 Teams SharePoint Online and OneDrive Export Solution,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Sources Sought,2021-S-003,2020-12-10,2021-01-15,Inactive,,Please see/complete the two attachments for the Senate Microsoft 365 Teams SharePoint Online and OneDrive Export Solutionfor the U.S. Senate Office of the Sergeant At Arms.,https://sam.gov/opp/1b6cc23c5aff43099b37131bcca283a8/view,,
Senate Microsoft 365 Teams SharePoint Online and OneDrive Archive and Backup Solution,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Sources Sought,2021-S-004,2020-12-10,2021-01-15,Inactive,,Please see/complete the two attachments for the Senate Microsoft 365 Teams SharePoint Online and OneDrive Archive and Backup Solution for the U.S. Senate Office of the Sergeant At Arms.,https://sam.gov/opp/3b4cd657704c480bbfcbaeb9587edfcc/view,,
Notice of Intent to Sole Source - Braille Certification Learning Management System Enhancements,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Special Notice,CIO20210123,2020-12-09,2020-12-15,Inactive,,"The National Library Service for Blind and Print Disabled (NLS), a service unit of the Library of Congress, provides braille and audio materials for loan to United States citizens in or out of the country, and, residents of the United States. As p",https://sam.gov/opp/8ed279d827a4484dbbc72fdac2ec09a6/view,,
Duo Security Multi-Factor Authentication Renewal,"SENATE, THE",THE UNITED STATES SENATE SERGEANT AT ARMS,SENATE SERGEANT AT ARMS,Special Notice,2021-R-018,2020-12-08,2020-12-09,Inactive,,Please see/complete the four attachments for the Duo Security Multi-Factor Authentication Renewal for the U.S. Senate Office of the Sergeant At Arms. *The response due date is now 5:00pm on 12/09/2020. *Users,https://sam.gov/opp/50201695189545afada50670243da706/view,,
Miscellaneous Film Supplies - Library of Congress MBRS,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV21Q0044,2020-12-07,2021-01-08,Inactive,,"The Library of Congress requires contract support to purchase motion picture supplies for stabilizing, repairing and conserving its motion picture film collection. These conservation efforts ensure Library of Congress motion picture",https://sam.gov/opp/1403e38d3e384448a71b09cd33f6fbab/view,,
